"# Channel 1"
"# Trace 1 PHASE OUTPUT#4"
Frequency, Formatted Data, Formatted Data
+5.19383268750E+008, -1.75923539724E+001, +0.00000000000E+000
+5.21258262500E+008, -1.76722870337E+001, +0.00000000000E+000
+5.23133256250E+008, -1.77190632896E+001, +0.00000000000E+000
+5.25008250000E+008, -1.78226269377E+001, +0.00000000000E+000
+5.26883243750E+008, -1.79213971718E+001, +0.00000000000E+000
+5.28758237500E+008, -1.79743681389E+001, +0.00000000000E+000
+5.30633231250E+008, -1.80205150839E+001, +0.00000000000E+000
+5.32508225000E+008, -1.80410439595E+001, +0.00000000000E+000
+5.34383218750E+008, -1.80970647739E+001, +0.00000000000E+000
+5.36258212500E+008, -1.81623052097E+001, +0.00000000000E+000
+5.38133206250E+008, -1.81962671680E+001, +0.00000000000E+000
+5.40008200000E+008, -1.82290800422E+001, +0.00000000000E+000
+5.41883193750E+008, -1.82859761444E+001, +0.00000000000E+000
+5.43758187500E+008, -1.83528433529E+001, +0.00000000000E+000
+5.45633181250E+008, -1.84029174915E+001, +0.00000000000E+000
+5.47508175000E+008, -1.84847839194E+001, +0.00000000000E+000
+5.49383168750E+008, -1.85361571449E+001, +0.00000000000E+000
+5.51258162500E+008, -1.86191600191E+001, +0.00000000000E+000
+5.53133156250E+008, -1.87030170584E+001, +0.00000000000E+000
+5.55008150000E+008, -1.87772383328E+001, +0.00000000000E+000
+5.56883143750E+008, -1.88367116351E+001, +0.00000000000E+000
+5.58758137500E+008, -1.89090526269E+001, +0.00000000000E+000
+5.60633131250E+008, -1.89744823025E+001, +0.00000000000E+000
+5.62508125000E+008, -1.90258084865E+001, +0.00000000000E+000
+5.64383118750E+008, -1.90757853650E+001, +0.00000000000E+000
+5.66258112500E+008, -1.91156829130E+001, +0.00000000000E+000
+5.68133106250E+008, -1.91692897476E+001, +0.00000000000E+000
+5.70008100000E+008, -1.92066651022E+001, +0.00000000000E+000
+5.71883093750E+008, -1.92391884577E+001, +0.00000000000E+000
+5.73758087500E+008, -1.93096550126E+001, +0.00000000000E+000
+5.75633081250E+008, -1.93275727295E+001, +0.00000000000E+000
+5.77508075000E+008, -1.94046284326E+001, +0.00000000000E+000
+5.79383068750E+008, -1.94280252837E+001, +0.00000000000E+000
+5.81258062500E+008, -1.94906053884E+001, +0.00000000000E+000
+5.83133056250E+008, -1.95567308826E+001, +0.00000000000E+000
+5.85008050000E+008, -1.96108205011E+001, +0.00000000000E+000
+5.86883043750E+008, -1.96997987196E+001, +0.00000000000E+000
+5.88758037500E+008, -1.97411068855E+001, +0.00000000000E+000
+5.90633031250E+008, -1.98084006135E+001, +0.00000000000E+000
+5.92508025000E+008, -1.98615978395E+001, +0.00000000000E+000
+5.94383018750E+008, -1.99078013044E+001, +0.00000000000E+000
+5.96258012500E+008, -1.99986345431E+001, +0.00000000000E+000
+5.98133006250E+008, -2.00499634355E+001, +0.00000000000E+000
+6.00008000000E+008, -2.00982772771E+001, +0.00000000000E+000
+6.01882993750E+008, -2.01458154309E+001, +0.00000000000E+000
+6.03757987500E+008, -2.02029798712E+001, +0.00000000000E+000
+6.05632981250E+008, -2.02302508707E+001, +0.00000000000E+000
+6.07507975000E+008, -2.02633230589E+001, +0.00000000000E+000
+6.09382968750E+008, -2.03182746383E+001, +0.00000000000E+000
+6.11257962500E+008, -2.03565624362E+001, +0.00000000000E+000
+6.13132956250E+008, -2.04019897607E+001, +0.00000000000E+000
+6.15007950000E+008, -2.04301322342E+001, +0.00000000000E+000
+6.16882943750E+008, -2.04483486216E+001, +0.00000000000E+000
+6.18757937500E+008, -2.05115266446E+001, +0.00000000000E+000
+6.20632931250E+008, -2.05575242150E+001, +0.00000000000E+000
+6.22507925000E+008, -2.06375681146E+001, +0.00000000000E+000
+6.24382918750E+008, -2.06724763974E+001, +0.00000000000E+000
+6.26257912500E+008, -2.07169552500E+001, +0.00000000000E+000
+6.28132906250E+008, -2.07882519879E+001, +0.00000000000E+000
+6.30007900000E+008, -2.08844113489E+001, +0.00000000000E+000
+6.31882893750E+008, -2.09368150956E+001, +0.00000000000E+000
+6.33757887500E+008, -2.09734375651E+001, +0.00000000000E+000
+6.35632881250E+008, -2.10209791662E+001, +0.00000000000E+000
+6.37507875000E+008, -2.10633059192E+001, +0.00000000000E+000
+6.39382868750E+008, -2.11296560847E+001, +0.00000000000E+000
